lat_grid,lon_grid,total_crashes,total_danger_score,avg_deaths,avg_injuries,avg_hour,avg_dayofweek,high_risk_label
30.137,-97.796,1,1,0.0,1.0,2.0,6.0,0
30.137,-97.793,6,4,0.0,0.6666666666666666,12.166666666666666,3.0,0
30.137,-97.792,1,0,0.0,0.0,6.0,0.0,0
30.137,-97.774,1,8,0.0,8.0,12.0,0.0,0
30.137,-97.767,2,1,0.0,0.5,17.0,3.0,0
30.137,-97.76,1,1,0.0,1.0,16.0,6.0,0
30.137,-97.642,1,1,0.0,1.0,7.0,5.0,0
30.138,-97.802,5,0,0.0,0.0,6.0,3.6,0
30.138,-97.8,1,0,0.0,0.0,3.0,0.0,0
30.138,-97.799,3,4,0.0,1.3333333333333333,12.0,4.666666666666667,0
30.138,-97.798,3,3,0.0,1.0,13.666666666666666,5.0,0
30.138,-97.797,43,28,0.0,0.6511627906976745,12.13953488372093,3.4651162790697674,0
30.138,-97.796,1,0,0.0,0.0,4.0,5.0,0
30.138,-97.781,1,1,0.0,1.0,16.0,5.0,0
30.138,-97.76,1,2,0.0,2.0,1.0,0.0,0
30.139,-97.802,1,1,0.0,1.0,17.0,0.0,0
30.139,-97.797,5,1,0.0,0.2,13.0,4.2,0
30.139,-97.796,26,25,0.0,0.9615384615384616,13.23076923076923,3.0384615384615383,0
30.139,-97.793,3,0,0.0,0.0,12.666666666666666,3.3333333333333335,0
30.139,-97.79,2,0,0.0,0.0,15.0,3.0,0
30.139,-97.782,1,0,0.0,0.0,0.0,4.0,0
30.139,-97.77,2,0,0.0,0.0,5.5,3.5,0
30.139,-97.769,3,3,0.0,1.0,3.0,1.3333333333333333,0
30.139,-97.763,1,0,0.0,0.0,5.0,2.0,0
30.139,-97.761,2,0,0.0,0.0,6.5,3.0,0
30.14,-97.801,1,0,0.0,0.0,4.0,5.0,0
30.14,-97.797,5,3,0.0,0.6,16.0,4.4,0
30.14,-97.796,96,54,0.0,0.5625,13.322916666666666,3.15625,1
30.14,-97.794,2,0,0.0,0.0,3.5,4.5,0
30.14,-97.793,2,0,0.0,0.0,11.0,3.5,0
30.14,-97.792,1,0,0.0,0.0,21.0,3.0,0
30.14,-97.773,1,0,0.0,0.0,8.0,4.0,0
30.14,-97.772,4,6,0.0,1.5,13.5,2.0,0
30.14,-97.765,1,0,0.0,0.0,4.0,3.0,0
30.14,-97.763,1,0,0.0,0.0,1.0,4.0,0
30.14,-97.632,1,0,0.0,0.0,12.0,1.0,0
30.14,-97.631,1,1,0.0,1.0,16.0,5.0,0
30.141,-97.847,1,0,0.0,0.0,17.0,0.0,0
30.141,-97.801,1,1,0.0,1.0,13.0,1.0,0
30.141,-97.8,2,1,0.0,0.5,3.0,2.0,0
30.141,-97.796,55,41,0.01818181818181818,0.6545454545454545,12.4,3.0727272727272728,1
30.141,-97.795,4,7,0.25,0.5,10.75,5.0,0
30.141,-97.793,1,2,0.0,2.0,14.0,2.0,0
30.141,-97.772,1,1,0.0,1.0,0.0,0.0,0
30.141,-97.768,1,0,0.0,0.0,12.0,0.0,0
30.141,-97.764,1,1,0.0,1.0,0.0,1.0,0
30.141,-97.763,6,6,0.0,1.0,6.5,4.666666666666667,0
30.142,-97.85,1,0,0.0,0.0,22.0,3.0,0
30.142,-97.848,11,13,0.0,1.1818181818181819,15.090909090909092,2.909090909090909,0
30.142,-97.847,1,0,0.0,0.0,14.0,0.0,0
30.142,-97.801,1,1,0.0,1.0,2.0,4.0,0
30.142,-97.8,30,18,0.0,0.6,12.466666666666667,2.8333333333333335,0
30.142,-97.799,1,0,0.0,0.0,20.0,1.0,0
