Primary address,Secondary address,lat_grid,lon_grid
e parmer ln ln,e old hwy 20 st,30.342,-97.579
400 e 45th st,4400 red river st,30.305,-97.72
7900 not reported,6600 silvermine dr,30.251,-97.896
4900 fm 2222 rd,n capital of texas hwy nb,30.359,-97.789
2800 e cesar chavez st,linden st,30.253,-97.713
13300 dessau rd,e howard,30.404,-97.638
500 n ih35 sb,400 4th st,30.265,-97.735
6600 w w us 290 hwy,6600 w w william cannon dr,30.234,-97.866
9200 research blvd,burnet rd,30.378,-97.735
300 montopolis dr,6300 crumely ln,30.241,-97.693
wood hollow cv,north hills cv,30.35,-97.755
4600 e e oltorf st st,2400 e wickersham ln ln,30.225,-97.724
14600 avery ranch blvd,10700 n canoa hills trl,30.497,-97.782
900 w w mary st st,1800 bouldin ave ave,30.248,-97.761
1100 w northloop blvd,5300 grover,30.323,-97.734
8600 e anderson ln,1700 ohlen rd,30.363,-97.718
6900 brodie ln,w william cannon dr,30.213,-97.831
1800 south pleasant valley rd,2500 elmont dr,30.236,-97.722
7500 n mopac expy,w anderson ln,30.376,-97.739
12800 research blvd svrd nb,mcneil dr,30.435,-97.771
300 bastrop hwy nb,6301 levander loop,30.241,-97.689
13900 n 35 hwy,14000 owen tech blvd,30.429,-97.671
8000 johnny morris rd,6600 breezy hill dr,30.316,-97.634
8000 brettonwoods,1000 rutherford,30.341,-97.692
11800 dessau rd rd,11800 shropshire blvd blvd,30.378,-97.658
100 guadalupe st,300 w 2nd st,30.265,-97.748
13300 rm 620,lakecreek pkwy,30.476,-97.774
11200 s s ih 35 nb hwy,onion creek pkwy,30.147,-97.793
3200 s s 1st st st,500 lightsey rd rd,30.232,-97.766
e stassney ln,nuckols crossing rd rd,30.193,-97.739
300 e ben white blvd proper eb,500 w ben white blvd proper eb,30.224,-97.766
8500 not reported,corral ln,30.182,-97.776
4417 mount bonnell rd,4300 island ave,30.329,-97.776
6303 cameron rd,6300 e 290 eb to berkman ramp,30.321,-97.696
w 35th st ctof,crawford ave,30.307,-97.749
1400 w 38 st st,3800 shoal creek blvd,30.307,-97.747
11500 manchaca rd,1600 frate barker rd,30.15,-97.833
8900 research blvd,putnam dr,30.371,-97.721
500 e howard ln,center lake dr,30.412,-97.651
4100 w w slaughter ln,wolftrap ln,30.185,-97.854
5300 s northland to n mopac expy sb expy,3300 w northland dr dr,30.337,-97.756
7100 n n ih 35 nb hwy,700 e st johns ave,30.333,-97.704
6701 w parmer ln,6300 mc neil dr,30.443,-97.742
2300 rosewood ave,1100 chestnut ave,30.27,-97.715
1500 lamar,1000 15th,30.28,-97.751
n mopac expy sb,research blvd sb,30.38,-97.738
1000 e anderson ln,7500 blessing ave,30.405,-97.745
4700 russet hill dr dr,5300 e e martin luther king jr blvd blvd,30.287,-97.674
600 s bastrop hwy hwy,600 thompson ln ln,30.236,-97.687
mc niel dr,technology blvd,30.438,-97.758
1100 airport blvd,3600 goodwin,30.268,-97.696
5400 guadalupe st,500 w 55th st,30.322,-97.725
1000 wagon trl,prairie trl,30.379,-97.693
13800 not reported fwy,13800 n ih 35,30.426,-97.672
90 pedernales st,2400 e cesar chavez st,30.253,-97.717
6300 w w us 290 hwy,6100 patton ranch rd rd,30.235,-97.86
2500 s lakeshore,1100 s s pleasant valley rd,30.243,-97.717
1400 s s mopac expy sb expy,3000 barton skyway st,30.263,-97.79
9400 e e us 290 hwy svrd wb hwy,9700 giles ln ln,30.331,-97.632
1400 walnut ave,2600 e 16th st,30.278,-97.713
700 s s mopac expy sb,bee caves rd,30.27,-97.776
400 e 15th st,trinity st,30.276,-97.736
3700 s capital of texas loop,not reported,30.245,-97.802
8000 n mopac expy,8100 n mopac expy,30.362,-97.744
bradshaw rd,lehman way,30.135,-97.775
n ih 35 nb ramp,w anderson ln ln,30.339,-97.7
22100 s s ih 35 sb,1600 e e oltorf st st,30.236,-97.74
w slaughter ln ln,s ih 35 svrd sb,30.167,-97.786
8500 cameron rd,clear creek dr,30.341,-97.681
4400 s lamar blvd svrd nb,4200 cap tx hwy svrd sb,30.234,-97.796
chateau village way,bluff springs rd,30.173,-97.768
6900 w 290 svrd wb,6900 w wsh 71,30.234,-97.873
6500 fm 2222 rd,6700 river place dr,30.395,-97.846
12700 n mopac expy,w parmer ln,30.422,-97.704
5600 s mopac expy,5500 w slaughter ln,30.201,-97.867
619 n not reported,900 e 6th st,30.266,-97.734
2500 w ben white blvd,4100 s lamar blvd,30.235,-97.796
2300 rutland dr,mc kalla pl,30.382,-97.72
5800 n mopac expy,not reported,30.34,-97.754
n mopac expy svrd nb,parmer ln,30.42,-97.703
2200 s ih 35,1200 e oltorf st,30.234,-97.741
5000 s not reported,e ben white,30.203,-97.76
8700 not reported,burnet rd,30.362,-97.717
2514 e e oltorf st st,2499 s s pleasant valley rd rd,30.227,-97.727
12100 not reported,park bend,30.411,-97.71
600 barton springs rd,500 s s 1st st,30.259,-97.751
14000 not reported,9000 w parmer ln,30.476,-97.765
n us 183 hwy svrd sb,lake creek pkwy,30.461,-97.795
9300 mopac,3600 braker ln,30.382,-97.736
1900 e ben white blvd eb srvc hwy,2000 woodward st,30.217,-97.746
12200 n dessau rd rd,1600 e parmer ln,30.387,-97.649
9600 not reported,9500 johnny morris rd,30.331,-97.623
2400 harris blvd blvd,2300 windsor rd,30.291,-97.757
11000 harris branch pkwy,10900 giles ln,30.345,-97.614
1900 w parmer ln,12500 rampart,30.415,-97.693
2400 leon st,1100 w 24th st,30.289,-97.749
4600 n mopac expy,45th street st,30.24,-97.819
1960 e braker ln,1900 pioneer farms dr,30.369,-97.652
407 w 34th st,3400 n guadalupe st,30.301,-97.741
10614 n hamilton to research nb ramp blvd,4800 w braker ln,30.399,-97.746
12048 n mopac expy,w braker ln,30.368,-97.742
12700 not reported,not reported,30.434,-97.769
8800 n ih 35 svrd sb,700 e rundberg ln,30.352,-97.693
1400 coronado hills dr,7500 cameron rd,30.329,-97.69
300 w ben white blvd,4100 congress ave,30.224,-97.766
8200 n mopac expy,7000 far west blvd,30.353,-97.749
3900 n n ih 35 nb,wilshire blvd blvd,30.295,-97.719
15108 15108 fm 1825 rr,1500 w wells branch pkwy,30.443,-97.665
14000 n fm 620 rd nb,9100 w parmer ln,30.476,-97.765
3700 s montopolis dr,6300 e burleson rd,30.209,-97.715
600 colonial park blvd,windledge dr,30.21,-97.761
5600 n mopac expy sb,n mopac expy sb,30.337,-97.756
10000 e capital of tx hwy,10000 s not reported,30.25,-97.806
5000 w w slaughter ln,9300 s mopac expy,30.2,-97.864
7600 n n mopac loop,6800 w executive center dr dr,30.358,-97.746
1200 s not reported,1200 s s ih 35 creedmore ramp,30.105,-97.81
2900 e martin luther king jr blvd,1800 alexander ave,30.282,-97.709
9300 s mopac expy,5000 w slaughter ln,30.2,-97.866
s lamar blvd nb,300 toomey rd,30.263,-97.758
6700 s mopac expy,4100 w william cannon dr,30.221,-97.837
1400 e 51st st,lancaster ct,30.307,-97.705
2100 e riverside dr,1600 burton dr,30.24,-97.727
2100 s us 183 hwy sb,8200 e riverside dr,30.218,-97.683
3800 s capitol of texas highway,not reported,30.239,-97.8
11000 n ih 35,800 e braker ln,30.378,-97.676
5100 wind river rd rd,5100 natrona dr dr,30.413,-97.744
100 w anderson ln,7800 northcrest blvd,30.344,-97.704
9100 n ih 35 nb,9200 not reported,30.167,-97.788
2000 greenbrook pkwy,blanton dr,30.306,-97.691
3500 n n ih 35 sb hwy,concordia ave,30.293,-97.721
11701 n metric blvd,1922 gracy farms ln ln,30.401,-97.703
w howard ln,n ih 35 nb,30.424,-97.672
3800 s mount bonnell rd rd,3400 mt bonnell dr,30.325,-97.774
500 n ed bluestein blvd blvd,100 n bastrop hwy hwy,30.222,-97.683
e stassney ln,not reported,30.199,-97.764
100 w anderson ln service rd wb,7900 georgian dr,30.344,-97.705
6200 lamar blvd,700 denson,30.33,-97.723
4300 s ih 35 hwy,1100 e ben white blvd,30.215,-97.752
5900 camino real,1800 w koenig ln,30.333,-97.737
14400 n ih 35 svrd nb,14000 the lakes blvd,30.43,-97.67
mcneil dr,12800 n n us 183 hwy svrd nb,30.435,-97.769
5500 n lamar blvd,800 nelray blvd,30.323,-97.728
1500 e e sh 71 wb,1300 nb bastrop hwy,30.222,-97.682
1820 w w stassney ln,manchaca rd,30.215,-97.796
200 e e ben white,ben white eb to s 35 sb ramp,30.223,-97.762
n n capital of texas hwy hwy,arboretum blvd blvd,30.388,-97.752
13000 n research blvd nb blvd,lake creek pkwy,30.439,-97.779
4200 s ih35 frontage rd,e ben white svrd eb at ih 35 trn blvd,30.215,-97.752
11500 n n fm 620 rd,anderson mil rd,30.455,-97.827
6500 s ih 35 hwy,e william cannon dr,30.19,-97.771
12500 n n mopac expy expy,2500 parmer ln ln,30.42,-97.704
500 e rundberg ln,n ih 35 svrd sb,30.359,-97.69
5500 n n lamar blvd,800 houston st,30.323,-97.728
3500 n n ih 35 sb hwy,concordia ave ave,30.292,-97.721
1000 s ih 35 nb hwy,900 e clermont ave ave,30.255,-97.736
8100 s ih 35 hwy,220 formost dr,30.178,-97.779
2000 w w ben white blvd svrd wb blvd,4200 victory dr dr,30.232,-97.791
parker ln,e oltorf st st,30.232,-97.737
4800 s n us 183 hwy sb,6100 w fm 969 rd,30.286,-97.665
2000 whitis,2000 guadalupe st,30.283,-97.741
6500 n mopac expy,5700 northland dr,30.343,-97.752
500 w ben white blvd,south 1st st,30.227,-97.769
2100 not reported,ridgepoint dr,30.329,-97.677
1400 n ih35,800 e 14th st,30.274,-97.731
11600 n not reported,duval rd,30.417,-97.747
1800 crossing pl,4800 e riverside dr,30.233,-97.717
e slaughter ln,n ih 35 hwy,30.167,-97.786
2700 willow st,80 n pleasant valley dr,30.252,-97.713
1000 w w 38th st st,3700 n n lamar blvd,30.305,-97.743
6800 guadalupe st st,airport blvd,30.334,-97.717
3200 manor rd,2200 tillery st,30.287,-97.703
7200 w hwy 290 west,7001 oak meadow dr,30.232,-97.877
1600 ed bluestein blvd sb,6400 eastgate rd,30.258,-97.676
6300 cameron rd,6600 e us 290 hwy svrd eb rd,30.32,-97.696
9200 s s mopac expy sb loop,lacrosse,30.382,-97.738
3500 s webberville rd rd,700 bedford st st,30.27,-97.706
70 trinity st st,300 e cesar chavez st st,30.262,-97.741
7200 not reported,not reported,30.337,-97.701
8900 mopac nb to research sb ramp,9100 mopac to burnet rd ramp,30.386,-97.735
9100 research blvd nb,9000 waterford centre blvd,30.374,-97.729
600 w ben white blvd,3800 s 1 st st,30.227,-97.77
w w rundberg ln ln,collinfield dr,30.365,-97.702
6900 n 620 rd,11500 2222 rd,30.405,-97.853
4600 s berkman dr,2100 robert browning st st,30.299,-97.7
8800 n ih 35 hwy,park plaza,30.352,-97.692
3400 n not reported,2300 w 35th st st,30.308,-97.757
3800 peck ave,600 e 38th st,30.298,-97.729
2800 n not reported,2800 waymaker way,30.328,-97.811
s ih 35 nb,e william cannon dr,30.196,-97.766
6300 n ih 35 nb,e us 290 hwy svrd eb,30.325,-97.706
8500 manchaca,2000 davis ln,30.187,-97.816
8600 tuscany way,8600 e us 290 svrd wb,30.335,-97.657
4200 ed bluestein blvd sb,fm 969,30.279,-97.667
7100 n ih 35,700 e st johns ave,30.333,-97.704
4500 w braker ln,4500 seton center pkwy,30.4,-97.742
6600 e ben white blvd,3000 montopolis dr,30.212,-97.709
5800 2222,n capital of texas hwy,30.36,-97.792
9500 w w parmer ln,spectrum dr,30.482,-97.768
2400 n mopac expy nb loop,2000 windsor rd,30.292,-97.76
1100 chicon st,1800 pennsylvania ave,30.272,-97.719
12000 n mopac expy svrd nb,12000 parmer ln,30.42,-97.705
bittern hollow,w braker ln,30.389,-97.702
600 e koenig ln,5600 avenue f,30.321,-97.717
5400 n mopac expy,3200 northland dr,30.335,-97.756
1500 n ih 35 sb hwy,1200 e 12th st,30.278,-97.73
1701 vargas dr,1700 idea rd,30.226,-97.7
9700 burnet,longhorn blvd,30.38,-97.725
6200 s ih 35 hwy,e wm cannon dr,30.196,-97.766
5700 s 5700 blk s ih 35 nb,1500 e stassney ln,30.198,-97.764
1200 w howard ln ln,13600 n ih 35 svrd,30.424,-97.671
10900 lakeline mall drive dr,13900 n n us 183 hwy svrd nb hwy,30.475,-97.794
6400 n not reported,la posada dr,30.325,-97.706
31000 s s us 183 hwy nb,3400 mckinney falls,30.199,-97.684
4361 s congress ave,111 e st elmo rd,30.217,-97.767
100 e riverside dr,s congres ave,30.257,-97.747
1900 e mlk jr blvd,n ih35 service rd,30.278,-97.729
400 w st elmo rd,4400 s 1st st,30.22,-97.772
6400 river place,bonaventure dr,30.389,-97.849
7200 fm 2222 rd rd,6500 jester blvd blvd,30.37,-97.802
5700 e parmer ln,12224 harris branch pkwy,30.369,-97.614
1700 s ih 35 hwy,1500 woodland ave,30.241,-97.737
n airport blvd blvd,e glissman rd,30.255,-97.693
500 n ih 35 hwy,cesar chavez blvd,30.262,-97.736
12100 n n ih 35 svrd nb,300 bowery trl,30.391,-97.671
10700 jollyville,4900 braker ln,30.401,-97.749
7700 s s ih hwy,e wm cannon dr,30.178,-97.779
1400 e rundberg ln,dessau rd,30.352,-97.678
3400 n not reported,1000 e 32nd st,30.292,-97.722
5900 n ih 35 nb,clayton ln,30.32,-97.707
7300 e riverside dr,2000 uphill ln,30.22,-97.694
8100 n lamar blvd,700 w powell ln,30.35,-97.71
3900 southwest pkwy,4600 s mopac expy,30.245,-97.843
100 n ih 35 svrd nb hwy,100 e cesar chavez st,30.261,-97.736
1600 w 5th st st,500 west lynn,30.274,-97.763
2100 wheeless ln,6000 thames dr,30.313,-97.687
cesar chavez st,brazos st,30.263,-97.743
12900 n us 183 hwy,7400 mc neil dr,30.436,-97.774
11000 s not reported,crown colony dr,30.142,-97.795
3400 spicewood spg to mopac sb ramp,7800 n mo pac expy,30.361,-97.745
1300 s mopac expy,3000 barton skwy,30.263,-97.79
2800 e martin luther ing jr blvd,1900 miriam ave,30.281,-97.712
800 south 1st st,coupland dr,30.247,-97.756
1800 e stassney ln,5700 s ih 35,30.197,-97.762
3200 s not reported,3100 e not reported,30.202,-97.638
3700 s not reported rd,3800 e not reported,30.195,-97.624
600 e rundberg ln,9400 n ih 35 svrd,30.358,-97.689
8400 s n ih 35 svrd sb hwy,600 barwood park,30.348,-97.695
2200 2200 s ih 35 sb,1000 oltorf st,30.236,-97.741
11214 n jollyville rd,11200 taylor draper ln,30.41,-97.748
sw w slaughter ln ln,cullen ln,30.167,-97.791
11300 not reported,not reported,30.398,-97.85
1000 s ih35,1300 e riverside dr,30.248,-97.735
10000 w w parmer ln,15000 avery ranch blvd,30.498,-97.775
2201 s montopolis dr dr,6000 e e riverside dr dr,30.222,-97.705
sw southwest parkway pkwy,w west william cannon drive dr,30.254,-97.865
5500 manchaca rd,2000 w stassney ln,30.216,-97.797
30 n ih 35 svrd sb at ben white trn,riverside dr,30.235,-97.741
1900 s s us 183 hwy sb hwy,8299 e riverside dr dr,30.218,-97.683
11500 n sh 130 hwy,11700 n sh 130 hwy,30.343,-97.592
8500 s mopac expy,not reported,30.372,-97.741
2200 s capital of texas hwy,walsh tarlton ln,30.265,-97.818
12100 samsung blvd,3100 e parmer ln,30.371,-97.635
2000 s 5th st,900 brodie st,30.247,-97.763
11100 s ih 35 svrd sb,100 e fm 1626,30.14,-97.796
8500 us 183 hwy,1400 fairfield dr,30.359,-97.717
900 e braker,wedgewood dr,30.376,-97.673
12700 183 sb,mcneil rd,30.377,-97.734
12500 n fm 620 rd,12500 ridgeline dr,30.465,-97.808
6900 ih 35 sb,600 hwy 183 sb svrd,30.339,-97.7
6600 s s mopac expy nb loop,5000 w w us 290 hwy hwy,30.232,-97.827
11800 dessau rd,shropshire blvd,30.377,-97.659
10600 research blvd,4600 w braker ln,30.393,-97.746
7200 n ih 35,not reported,30.333,-97.704
10600 ne lamar blvd,800 e mc phaul st,30.375,-97.69
1400 south congress,100 e elizabeth st,30.249,-97.75
5900 not reported rd,6100 n capital of texas hwy,30.359,-97.791
4700 boston ln,4600 southwest pkwy,30.239,-97.832
2200 chestnut,2200 e 22nd st,30.283,-97.718
4700 s s congress ave ave,100 sheraton ave ave,30.215,-97.769
2500 w anderson ln,private dr,30.357,-97.733
0 n ih 35 to 51st roundabout,5100 harmon ave,30.31,-97.71
13900 not reported,10900 lakeline mall dr,30.466,-97.796
9800 n lamar blvd,9800 rutland dr,30.366,-97.695
5900 slaughter ln,9700 escarpment blvd,30.201,-97.878
7000 n ih 35 sb,700 e st johns ave,30.332,-97.705
710 w ben white svrd wb,santiago st,30.219,-97.755
9300 s ih 35 svrd sb at ben white trn hwy,e slaughter ln,30.166,-97.787
8400 n ih 35 svrd sb,600 barwood park,30.348,-97.695
11100 n ih 35 nb,800 e braker ln,30.375,-97.677
500 s s congress ave ave,100 e e riverside dr dr,30.257,-97.747
6800 west gate blvd,2600 berkley ave,30.208,-97.815
8800 n ih 35 hwy,800 park plz,30.351,-97.692
5300 guadalupe st,franklin blvd,30.321,-97.726
slaughter hwy,n ih 35 hwy,30.167,-97.782
n ih 35 svrd nb,e anderson ln svrd wb,30.339,-97.699
1600 bluff springs rd,e william cannon dr,30.189,-97.768
2700 e riverside dr,1900 burton dr,30.239,-97.726
60 n ih 35,700 e lambie st,30.257,-97.737
2800 e e martin luther king jr blvd blvd,1800 miriam ave ave,30.281,-97.712
8100 ih 35 hwy,e slaughter ln,30.165,-97.787
8500 s ih 35 nb,e e william cannon dr dr,30.189,-97.772
8500 research blvd,northcrest blvd,30.359,-97.717
12700 n 183a nb at lakeline blvd trn hwy,oak knoll st,30.43,-97.761
2400 s e anderson ln,7500 w ih 290 svrd rd,30.326,-97.673
1000 e e anderson ln to cameron ramp ln,1500 cameron rd rd,30.331,-97.682
2400 blue meadow dr,6900 stonleigh pl,30.181,-97.762
1300 e e ben white blvd wb,4000 s ih 35,30.218,-97.753
11700 burnet rd,palm hwy,30.402,-97.718
900 e 7th st,700 n not reported,30.267,-97.734
2900 s lamar blvd blvd,2200 barton skyway way,30.244,-97.782
3800 s capital of texas hwy,3500 s mopac expy,30.243,-97.801
8600 balcones club dr,not reported,30.437,-97.782
5200 s ih35,1100 w w stassney ln ln,30.204,-97.761
500 w 15th st,1500 nueces st,30.278,-97.745
6300 e ben white blvd,3000 montopolis dr,30.213,-97.712
10400 w anderson mill rd rd,10400 wagon gap dr dr,30.447,-97.806
8515 not reported,e slaughter ln,30.17,-97.784
airport sb to koenig wb ramp,duval st,30.321,-97.716
4500 burleson rd,4500 e been white blvd,30.214,-97.734
3400 s capital of texas hwy,3000 s mopac blvd,30.251,-97.807
1400 fm 1327,not reported,30.126,-97.802
501 w 15th st,san antonio st,30.278,-97.744
2100 n n ih 35,mlk blvd,30.285,-97.726
7900 research nb blvd,8000 n n lamar sb blvd,30.348,-97.714
10707 n n ih 35 svrd nb,807 ruby dr dr,30.372,-97.679
cameron rd,us 183,30.334,-97.685
501 e oltorf st,2315 rebel rd,30.237,-97.751
3431 far west blvd,6843 austin center blvd,30.352,-97.751
12200 n dessau rd rd,1600 e e parmer ln ln,30.387,-97.649
4500 avenue a,45th st,30.31,-97.732
900 ih 35 nb,800 e 10th st,30.27,-97.733
3600 s capital of texas hwy,4200 s lamar blvd,30.234,-97.796
w w sh 71 hwy,fletcher ln,30.247,-97.889
9800 w parmer ln,14200 n fm 620 rd,30.477,-97.765
5300 s not reported,1100 e stassney ln,30.201,-97.762
1800 w rundberg ln,nortghate blvd,30.371,-97.714
2900 w us 290 hwy,4400 s lamar blvd,30.234,-97.795
3000 s s ih 35 nb,e ben white blvd wb,30.229,-97.744
4700 e e martin luther king jr,private drive,30.286,-97.682
3000 s ih 35 sb,woodward st,30.224,-97.747
2900 s lakeline blvd,11400 pecan park blvd,30.477,-97.807
e riverside dr,s ih 35 svrd nb hwy,30.248,-97.735
800 s first st,500 barton springs rd,30.256,-97.752
6200 ih 35 hwy,1000 laposada dr,30.326,-97.706
1200 rio grande st,700 w w 12th st,30.276,-97.747
3100 e sh 71 hwy,3300 s fm 973 rd,30.202,-97.64
2000 e 3rd st,200 elkhart st,30.258,-97.722
11300 lakeline blvd to 183a nb ramp,not reported,30.473,-97.798
6300 n not reported,e not reported,30.216,-97.752
9000 n research,waterford centre,30.375,-97.73
9314 anderson mill rd,13405 pond springs rd,30.45,-97.785
100 38th,3800 griffith st,30.3,-97.733
12800 n n us 183 hwy svrd sb hwy,8600 n spicewood springs rd rd,30.432,-97.767
guadalupe st,w 25th st,30.289,-97.741
3700 todd ln,2500 e ben white blvd service road,30.215,-97.735
ih 35,e slaughter ln,30.167,-97.785
9000 research blvd blvd,burnet rd,30.373,-97.727
13400 not reported,9500 anderson mill rd,30.367,-97.718
2000 s mopac expy sb,barton skyway,30.262,-97.791
13800 n ih 35 nb,14400 the lakes blvd,30.427,-97.671
5630 n lamar blvd,e e koenig ln wb ln,30.325,-97.727
400 n pleasant valley,2700 e 5th st,30.257,-97.711
100 e anderson ln,7800 northcrest dr,30.344,-97.706
8900 n n capital of texas hwy sb hwy,great hills trl,30.388,-97.759
12000 s ih 35 hwy,820 camino vaquero pkwy,30.387,-97.673
1190 airport blvd,3400 e 12th st,30.276,-97.7
6600 s congress ave ave,e william cannon dr dr,30.194,-97.778
200 n n ih 35 nb,brushy st st,30.262,-97.736
847 s capital of tx hwy,800 las cimas pkwy,30.291,-97.828
200 e ben white blvd,4000 woodbury dr dr,30.222,-97.761
n 183a sb to 45 eb ramp,9900 lake creek pkwy,30.47,-97.792
9000 n n ih 35 svrd nb hwy,park plz,30.352,-97.692
4500 e e ben white blvd svrd eb blvd,4600 e burleson rd,30.215,-97.733
parmer ln,mopac,30.42,-97.704
n n lamar blvd svrd nb,w anderson ln svrd eb,30.348,-97.712
600 e anderson ln,ih 35 srv,30.341,-97.701
2400 n mopac expy,1700 northwood rd,30.3,-97.758
100 w anderson ln svrd wb,8000 georgian dr,30.344,-97.705
4500 s 1st st,600 e philco dr,30.219,-97.774
6600 w w us 290 hwy hwy,6300 w w william cannon dr dr,30.234,-97.865
7900 n 35 hwy,800 norwood park blvd,30.343,-97.698
9033 n research blvd,9000 burnet rd,30.373,-97.726
s s ih 35 svrd sb,old san antonio rd rd,30.154,-97.792
1200 e e 51st st,5100 lancaster st,30.307,-97.705
5000 w w william cannon dr dr,6800 fence line dr dr,30.228,-97.861
6400 city park rd,fm 2222,30.366,-97.797
10000 e us 290 hwy svrd wb,10000 n sh 130 svrd sb,30.34,-97.592
2100 rutland dr,9700 rutland dr,30.381,-97.716
2300 s mopac expy svrd sb,2300 tamarron blvd,30.253,-97.801
1500 s ih35 svrd nb,woodland ave,30.238,-97.738
3600 w w william cannon dr dr,6900 brodie ln ln,30.215,-97.832
5400 n ed bluestein blvd nb blvd,5300 e e 51st st st,30.292,-97.664
6600 covered bridge dr,8600 w not reported,30.249,-97.895
6800 airport blvd,6700 guandalupe st st,30.334,-97.717
1013 w 45th st,n lamar blvd,30.313,-97.738
13073 n not reported,hunters chase rd,30.439,-97.779
2600 e ben white blvd,3700 s todd ln,30.215,-97.735
9700 n anderson mill rd rd,13400 n n us 183 hwy svrd sb hwy,30.448,-97.793
600 n ih 35 svrd nb,700 e 7th st,30.267,-97.734
3800 s 1st st,530 w ben white blvd svrd wb,30.227,-97.769
10000 e e us 290 hwy svrd eb,11300 n sh 130 nb,30.34,-97.592
2001 e sh 71 wb hwy,2400 spriit of texas dr,30.216,-97.664
5200 n ih 35 sb,airport exit,30.305,-97.713
7700 w ben white blvd,7700 e riverside dr,30.218,-97.69
6200 middle fiskville rd,800 tirado st,30.324,-97.71
600 w 290 hwy,3800 s 1st st,30.226,-97.769
2707 s 1st st,600 cumberland rd,30.238,-97.762
12000 not reported,duval,30.408,-97.717
7300 n ih 35 nb,700 e st johns ave,30.333,-97.703
1700 w anderson ln,wooten park dr,30.353,-97.724
500 walsh st,w 6th st,30.273,-97.758
9000 cameron rd,1500 ferguson ln,30.346,-97.678
10000 e us 290 hwy svrd wb hwy,9500 e parmer ln,30.344,-97.582
7200 not reported,far west blvd,30.353,-97.748
8600 research blvd svrd nb,1600 ohlen rd,30.362,-97.718
7800 n ih 35 sb,600 e anderson svrd eb ln,30.339,-97.7
3600 n s us 183 hwy nb hwy,0 e e sh 71 eb hwy,30.229,-97.683
200 s s lamar blvd blvd,1400 toomey rd rd,30.263,-97.758
12100 n research blvd,12100 riata trace,30.426,-97.753
400 s lamar blvd,500 barton springs rd,30.261,-97.758
500 e e koenig ln ln,5700 airport blvd blvd,30.32,-97.714
2500 baxter dr dr,2500 berkeley ave ave,30.211,-97.809
5400 westgate blvd,2600 stassney ln,30.219,-97.807
8500 spicewood springs rd,private apartment,30.429,-97.782
10000 e us hwy 290,10000 n sh 130 svrd sb,30.34,-97.592
4018 spicewood springs rd,8001 hillside dr,30.368,-97.754
7100 not reported,7200 lakewood dr,30.372,-97.786
13900 n ih35 nb,w howard ln,30.428,-97.671
4900 not reported,monterey oaks blvd,30.237,-97.839
1100 applegate dr,walnut bend dr,30.367,-97.677
n ih 35 sb,e 32nd street,30.289,-97.723
830 bastrop hwy,830 bastrop hwy crossover,30.242,-97.689
13300 n mopac expy,3300 century park blvd,30.436,-97.699
7700 s southbound hwy,e slaughter ln,30.155,-97.791
13100 n mopac expy,3100 scofield ridge pkwy,30.43,-97.7
100 e 9th st,congress ave,30.271,-97.741
2030 northridge dr,2000 rogge ln,30.309,-97.688
4203 james casey st,626 radam ln,30.226,-97.774
0 fm 2222 rd rd,7000 n n fm 620 rd rd,30.337,-97.756
13700 not reported,not reported,30.469,-97.797
n lamar blvd,w 31st st,30.3,-97.746
12500 riata vista cir,w parmer ln,30.434,-97.732
2700 hoeke ln,2700 hoeke ln,30.212,-97.69
13000 cantarra dr,3200 e howard ln,30.391,-97.619
7800 not reported,7800 not reported,30.339,-97.7
1000 w w cesar chavez st st,100 b r reynolds dr dr,30.267,-97.757
3400 ed bluestein blvd nb,3700 bluestein dr,30.269,-97.67
10400 n n us hwy 183 svrd sb,10000 w pecan park blvd,30.459,-97.794
6303 cameron rd,not reported,30.32,-97.696
700 w slaughter ln,89000 s 1st st,30.173,-97.801
6000 techni center dr dr,4000 ed bluestein,30.276,-97.67
2600 s s ih 35 sb hwy,e e oltorf st st,30.23,-97.744
n ih 35 svrd sb,900 w parmer ln,30.408,-97.675
1900 n ih 35 hwy,e manor rd,30.282,-97.728
8604 putnam dr dr,8700 research blvd sb blvd,30.365,-97.721
7700 fm 969 rd,5100 nixon ln,30.28,-97.646
cumberland rd rd,s s 1st st st,30.238,-97.762
15000 e staked plains loop loop,11500 n gold cave dr dr,30.497,-97.796
11900 n ih 35 hwy,wren dr,30.387,-97.673
7100 ed bluestein blvd svrd sb blvd,6700 manor rd,30.312,-97.663
600 29th,2900 guadalupe,30.295,-97.743
w braker ln,burnet rd,30.391,-97.721
1900 patton ln,6500 dorchester dr,30.318,-97.687
400 duval st,e 45th st,30.307,-97.725
12400 amherst dr,w parmer ln,30.423,-97.714
6800 not reported,not reported,30.403,-97.854
5300 n ih 35 nb,e 51st st,30.311,-97.711
5300 davis,8000 s mopac expy svrd nb,30.209,-97.862
3300 far west blvd,n mopac expy,30.352,-97.75
5100 n not reported,e e 51st st,30.31,-97.71
13700 s ih 35 hwy,s sh 45 hwy,30.102,-97.812
1600 e william cannon,6600 n ih 35 hwy,30.191,-97.77
600 ralph ablanedo rd,600 swanson ln,30.174,-97.794
6600 s mopac expy,4300 w william cannon dr,30.22,-97.837
5500 shoal creek blvd,2400 shoalmont dr,30.33,-97.746
2700 e ben white blvd,2600 e riverside dr,30.219,-97.691
6500 n ih 35 hwy,800 w koenig ln,30.323,-97.707
12096 jollyville rd rd,argonne forest trl trl,30.43,-97.765
